Дом и сад;214851;b0
Одежда;200703;b1
Обувь;198828;b2
Строительство и ремонт;198109;b3
Автотовары;182467;b4
Мебель;109966;b5
Книги;106999;b6
Спорт и отдых;106036;b7
Хобби и творчество;105321;b8
Электроника;105162;b9
Галантерея и аксессуары;97068;b10
Красота и гигиена;71960;b11
Аптека;71701;b12
Канцелярские товары;71032;b13
Товары для животных;70448;b14
Продукты питания;70270;b15
Детские товары;69399;b16
Бытовая техника;69197;b17
Товары для взрослых;66991;b18
Бытовая химия;66051;b19
Ювелирные изделия;5;b20
Антиквариат и коллекционирование;2;b21
Автомототехника;2;b22
Фермерское хозяйство;1;b23
